SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
43,KEN-KBU-168,Kiambu,Kiambu - COHRE 2006 - Kibera Raila Village Demolition 2009 Road Bypass - 3000 Families Displaced - KEN-NBI Link,1/1/2005,12/31/2009,"COHRE (2006) documented forced evictions of market traders in Laini Saba, Kibera; demolitions in Kibera and Mukuru kwa Njenga violating international law. COHRE report preceded the 2009 Raila Village road bypass demolition documented in the compaction su","COHRE (2006) documented: 'a number of forced evictions have occurred -” affecting market traders in Laini Saba, Kibera, among others. The demolition of shacks in Kibera and Mukuru kwa Njenga showed contempt for international law including the Conventio",COHRE,https://www.humanitarianlibrary.org/sites/default/files/2013/07/COHRE_HousingRightsInKenya.pdf,NGO,COHRE directly cited. Cross-boundary entry.
44,KEN-NBI-403,Nairobi,Nairobi - Cambridge Core 2025 - Kibera Canaan Formal Connection No Real Access - Right to Water Not Concretised,1/1/2022,6/18/2025,Cambridge Core (June 2025) documented Kibera Canaan residents who moved to homes connected to the utility grid expecting improved water access -” finding instead that 'formal recognition of state services has given them only limited leverage in securin,Cambridge Core (18 June 2025) published 'Concretizing the Right to Water: Engaging Infrastructurally Powerful Actors in Nairobi': 'The Canaan residents moved to homes connected to the utility grid and a borehole at their estate expecting that this would,Cambridge Core,https://www.cambridge.org/core/journals/african-studies-review/article/concretizing-the-right-to-water-engaging-infrastructurally-powerful-actors-in-nairobi/7880C921594A4D6E3029C22519500464,Academic,Cambridge Core directly cited.
45,KEN-TRK-215,Turkana,Turkana - Cambridge Core 2025 - LAPSSET Public Attitudes - Environmental Degradation Conflict Sacrificed for Development,1/1/2015,1/24/2025,"Cambridge Core (January 2025) published research on public attitudes to LAPSSET in Turkana County -” documenting that local communities are being asked to sacrifice environmental integrity and conflict risk for promised economic development, with LAPSS","Cambridge Core (24 January 2025) published 'Sacrificing environmental degradation and conflict risks for economic development: public attitudes to LAPSSET in Turkana County, Kenya': 'LAPSSET will cross from southeast to north Turkana, and along with asso",Cambridge Core,https://www.cambridge.org/core/journals/journal-of-modern-african-studies/article/sacrificing-environmental-degradation-and-conflict-risks-for-economic-development-public-attitudes-to-lapsset-in-turkana-county-kenya/349949463DC086D845A6D099D2D51091,Academic,Cambridge Core directly cited.
46,KEN-NBI-428,Nairobi,Nairobi - Sakaja Korogocho Flooding 2016 2020 2023 2024 - Major Incidents Named,1/1/2016,11/14/2025,"Sakaja before the Senate Committee (November 13 2025) specifically cited four Korogocho flooding incidents -” 2016, 2020, 2023, and 2024 -” as justification for urgent riparian management, confirming that Korogocho experienced major documented flood","Capital FM (November 14 2025) documented Governor Sakaja citing: 'major flooding incidents in 2016, 2020, 2023, and 2024 show the urgent need for action to prevent loss of life and property.' This official confirmation -” by the Governor, before a Sena",Capital FM; The Star,https://www.capitalfm.co.ke/news/2025/11/sakaja-warns-nairobians-face-flood-risk-due-to-riparian-encroachment/,Print/Online News,Capital FM directly cited.
47,KEN-NBI-282,Nairobi,Nairobi - NEMA Disowns 2018 Demolitions Before Parliament,1/1/2018,12/31/2018,"NEMA officials appearing before the Parliamentary Committee on Environment and Natural Resources admitted that the demolitions of Java House, Southend Mall, and other structures were not authorised by WRA -” they were sanctioned under the Nairobi Regen","Citizen Digital confirmed: 'According to NEMA, the demolition of Java House Kileleshwa, South End Mall among other structures was also not authorised by the Water Resources Authority as earlier indicated. They were speaking on Thursday when they appeared",Citizen Digital,https://www.citizen.digital/news/confusion-as-nema-now-disowns-demolition-of-nairobi-buildings-209279/,Print/Online News,Citizen Digital directly cited.
48,KEN-TRK-105,Turkana,Lake Turkana - Omo River Population Growth and Conflict Driver,1/1/1994,12/31/2024,"Population growth in the Lake Turkana and Lower Omo basin since 1994 has significantly increased pressure on water, land, and forest resources -” amplifying conflicts over water points, grazing land, and fishing grounds that predate the current dataset","Climate Diplomacy documented that since 1994, population numbers in the Lower Omo and Turkana region 'have strongly increased.' Larger populations combined with heavy reliance on local land and forest resources have exacerbated deforestation and land deg",Climate Diplomacy; Borgen Project,https://climate-diplomacy.org/case-studies/drought-and-conflict-across-kenyan-ethiopian-border,Academic/NGO,Climate Diplomacy directly cited.
49,KEN-TRK-197,Turkana,Turkana - Lake Turkana - 300000 People - Desert Lake Ecosystem Services,1/1/2004,3/31/2016,"Climate Diplomacy (2016) confirmed that Lake Turkana 'supplies vital ecosystem services and livelihoods to 300,000 people in northwestern Kenya' -” establishing the population baseline dependent on the lake, whose water levels are threatened by both Gi","Climate Diplomacy (March 2016) documented: 'a four-part video series produced by the Kenya Broadcasting Corporation (KBC) and supported by the Fund for Investigative Journalism gives an update on the beleaguered communities of Lake Turkana, the world's l",Climate Diplomacy; Friends of Lake Turkana,https://climate-diplomacy.org/magazine/update-kenyas-dwindling-lake-turkana-ethiopian-dam-begins-operation,Print/Online News; NGO,Climate Diplomacy directly cited.
50,KEN-TRK-190,Turkana,Turkana - Gibe III - 2011 Dassenetch Turkana Exchange - 50 Dead,1/1/2011,12/31/2011,Climate Diplomacy (2016) cited a KBC report documenting that an exchange between the Dassenetch peoples on the Ethiopian side of the border and Turkana peoples on the Kenyan side in 2011 'left 50 dead.' This occurred during the Gibe III construction peri,"Climate Diplomacy (2016) documented: 'Fighting between the Dassenetch peoples on the Ethiopian side of the border and Turkana peoples on the Kenyan side has erupted periodically over land and revenge killings. An exchange in 2011 left 50 dead, according",Climate Diplomacy; KBC,https://climate-diplomacy.org/magazine/update-kenyas-dwindling-lake-turkana-ethiopian-dam-begins-operation,Print/Online News; Government,Climate Diplomacy citing KBC directly cited.
51,KEN-TRK-131,Turkana,Lake Turkana Basin - Temperature Rise Since 1960 - 2 Degrees,1/1/1960,12/31/2024,"Climate Diplomacy documented that since 1960, temperatures in the Lower Omo and Turkana region have risen by almost 2Â°C and droughts now occur with higher frequency and intensity -” the fundamental climatic driver of all Turkana pastoral conflict do","Climate Diplomacy's case study confirmed: 'Since 1960, temperatures in the Lower Omo and Turkana Region have risen by almost 2C and droughts occur with higher frequency and intensity.' Shalom-SCCRR Briefing Paper No. 11 (2021) further documented: 'Since",Climate Diplomacy; Shalom-SCCRR; ACCORD,https://climate-diplomacy.org/case-studies/drought-and-conflict-across-kenyan-ethiopian-border,Academic; NGO,Climate Diplomacy and Shalom-SCCRR directly cited.
52,KEN-TRK-106,Turkana,Turkana - Ilemi Triangle - Kenya South Sudan Border Dispute,1/1/2004,12/31/2024,"The Ilemi Triangle -” a contested 10,000-14,000 kmÂ² region claimed by both Kenya and South Sudan to the north of Turkana County -” has pastoral water and grazing implications for Turkana communities who use the area seasonally.","Climate Diplomacy documented that both the governments of Kenya and South Sudan claim the Ilemi Triangle, a 10,000-14,000 kmÂ² region to the north of Turkana County. While the Kenya-Ethiopia border has also been a matter of discord, the Ilemi Triangle",Climate Diplomacy; WPS International Alert,https://climate-diplomacy.org/case-studies/drought-and-conflict-across-kenyan-ethiopian-border,Academic/NGO; NGO,Climate Diplomacy directly cited.
53,KEN-TRK-248,Turkana,Turkana - Climate Diplomacy - 2C Temperature Rise Since 1960 - Drought Every 2-3 Years - Conflict Trigger,1/1/1960,12/31/2026,"Climate-Diplomacy documented: since 1960, temperatures in the lower Omo and Turkana region have risen by almost 2Â°C; areas experiencing drought every 10-11 years now experience drought every 2-3 years. This climate acceleration is the documented struc","Climate-Diplomacy documented: 'Since 1960, temperatures in the lower Omo and Turkana Region have risen by almost 2Â°C and droughts occur with higher frequency and intensity. Areas prone to drought every ten or eleven years are now experiencing a drough",Climate-Diplomacy; IGAD,https://climate-diplomacy.org/case-studies/resource-conflict-omo-river-basin,Academic; NGO,Climate-Diplomacy directly cited.
54,TRK-007,Turkana,Turkana (Daasanach border area),1/1/1989,12/31/2015,"Conflicts between Nyangatom, Daasanach and Turkana over water and grazing land cause 600+ deaths (1989-2011) and continue post-2004","The Lower Omo and Turkana region hosts Mursi, Nyangatom, Daasanach (Merille) and Turkana communities, which have adopted nomadic agro-pastoralism in response to harsh climate. Between 1989 and 2011, conflicts between Nyangatom, Daasanach and Turkana caus",Climate-Diplomacy; UCDP,https://climate-diplomacy.org/case-studies/drought-and-conflict-across-kenyan-ethiopian-border,Academic / Policy,UCDP data; Climate Diplomacy case study
55,KEN-KBU-171,Kiambu,Kiambu - Ruiru Ndarugu River 2017 - Academic Baseline Urban Land Use Dissolved Oxygen Decline,1/1/2017,12/31/2017,The compaction summary documented: 'Ruiru/Ndarugu 2017 academic baseline: urban land use causes dissolved oxygen decline.' An academic study establishing that urban land use expansion along the Ruiru and Ndarugu Rivers in Kiambu County directly causes do,The compaction summary documented the 2017 Ruiru/Ndarugu academic baseline as a distinct entry covering the Ruiru and Ndarugu Rivers in Kiambu County. The dissolved oxygen decline documented in this 2017 baseline directly precedes: (1) the NEMA 2023 repo,Compaction Summary; Academic,https://www.wra.go.ke,Academic,Compaction summary. Academic source basis.
56,KEN-MCK-212,Machakos,Machakos - Athi River GRIN 2004 - Hydrological Baseline Data - 22-Year Collapse Documented,1/1/2004,12/31/2004,"The compaction summary documented: 'GRIN 2004 baseline hydrological data; 22-year collapse documented.' Academic hydrological baseline data for the Athi River established in 2004 -” which, by 2026, documents a 22-year documented ecological collapse. Fi",The compaction summary documented the GRIN 2004 Athi River hydrological baseline as a distinct Machakos academic entry. GRIN (Global Research Information Network / academic database) published baseline hydrological data for the Athi River in Machakos Cou,Compaction Summary; GRIN,https://www.iosrjournals.org,Academic,Compaction summary from session. GRIN academic database.
57,KEN-KBU-130,Kiambu,Kiambu - Lari Swamp - ELC E009/2023 - WRA Injunction Denied December 2024,1/1/2023,12/31/2024,"Kenya Law records ELC E009/2023 (Lari Swamp case, Kiambu County). In December 2024, the court denied WRA's application for an injunction to protect the 244.66-hectare Lari Swamp -” documented as the source protection zone for the Ruiru River. The swamp","The compaction summary confirmed: 'Lari Swamp: ELC E009/2023 (244.66 ha, WRA injunction denied December 2024; Ruiru River source protection).' The Lari Swamp covers 244.66 hectares in Lari Sub-County -” one of the four Kiambu sub-counties that the CIDP",Compaction Summary; Kenya Law,http://kenyalaw.org/caselaw,Court Record,Compaction summary and Kenya Law cited.
